Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Kawhi Leonard,27,TOR,SF,24,24,939,28.0,.619,.292,.435,6.4,19.3,12.8,19.3,2.1,1.8,11.1,32.2,3.5,1.5,5.0,.254,7.6,2.4,10.1,2.9,Finals MVP-1,leonaka01
2,Kyle Lowry,32,TOR,PG,24,24,901,15.4,.577,.523,.292,2.6,11.8,7.2,27.5,1.7,0.8,14.7,18.5,1.7,1.0,2.8,.147,1.0,1.3,2.3,1.0,,lowryky01
3,Pascal Siakam,24,TOR,PF,24,24,891,17.1,.540,.272,.227,5.0,16.2,10.6,12.9,1.4,1.9,7.3,23.2,1.3,1.1,2.4,.129,1.8,0.8,2.6,1.0,,siakapa01
4,Draymond Green,28,GSW,PF,22,22,851,16.5,.561,.249,.310,5.7,23.9,15.1,30.8,1.9,3.8,24.2,17.5,1.2,0.7,1.9,.107,0.3,3.2,3.6,1.2,,greendr01
5,Stephen Curry,30,GSW,PG,22,22,846,22.7,.620,.566,.364,2.4,15.2,9.0,23.9,1.4,0.5,11.7,29.1,3.1,0.2,3.3,.186,5.6,-0.5,5.2,1.5,,curryst01
6,Klay Thompson,28,GSW,SG,21,21,818,14.6,.575,.439,.114,1.7,10.1,6.0,8.3,1.7,1.8,9.1,22.1,1.0,0.2,1.1,.067,0.6,-0.4,0.2,0.5,,thompkl01
7,Marc Gasol,34,TOR,C,24,24,735,13.4,.564,.494,.256,2.4,20.7,11.6,14.7,1.4,3.5,9.5,13.7,1.1,1.1,2.2,.146,0.3,3.1,3.4,1.0,,gasolma01
8,Danny Green,31,TOR,SG,24,24,684,7.6,.503,.768,.148,2.7,11.3,7.0,5.4,2.4,1.6,13.6,12.7,-0.2,0.9,0.7,.052,-2.2,1.5,-0.7,0.2,,greenda02
9,Damian Lillard,28,POR,PG,16,16,650,20.7,.566,.479,.345,1.3,11.1,6.2,28.0,2.1,0.6,13.6,29.5,1.4,0.2,1.7,.122,4.9,-0.2,4.6,1.1,,lillada01
10,CJ McCollum,27,POR,SG,16,16,635,17.9,.527,.334,.160,2.3,11.0,6.7,16.8,1.0,1.3,7.4,27.7,1.0,0.1,1.0,.079,3.4,-0.7,2.6,0.7,,mccolcj01
11,Andre Iguodala,35,GSW,SF,21,15,629,15.3,.565,.482,.223,5.1,11.4,8.3,18.4,1.9,3.6,10.3,14.1,1.2,0.3,1.4,.110,1.7,2.0,3.7,0.9,,iguodan01
